schema_version,trial,cta,start_gpu_ns,end_gpu_ns
2,0,96,1789633732829453312,1789633732870658048
2,0,97,1789633732829453312,1789633732870657024
2,0,98,1789633732829453312,1789633732870659072
2,0,99,1789633732829453312,1789633732870657024
2,0,100,1789633732829453312,1789633732870657024
2,0,101,1789633732829453312,1789633732870657024
2,0,102,1789633732829453312,1789633732870657024
2,0,103,1789633732829453312,1789633732870660096
2,0,104,1789633732829453312,1789633732870656000
2,0,105,1789633732829453312,1789633732870660096
2,0,106,1789633732829453312,1789633732870657024
2,0,107,1789633732829453312,1789633732870657024
2,0,108,1789633732829453312,1789633732876682240
2,0,109,1789633732829453312,1789633732881999872
2,0,110,1789633732829453312,1789633732881998848
2,0,111,1789633732829453312,1789633732881998848
2,0,112,1789633732829453312,1789633732881998848
2,0,113,1789633732829453312,1789633732881998848
2,0,114,1789633732829453312,1789633732881999872
2,0,115,1789633732829453312,1789633732882002944
2,0,116,1789633732829453312,1789633732881997824
2,0,117,1789633732829453312,1789633732882003968
2,0,118,1789633732829453312,1789633732881998848
2,0,119,1789633732829453312,1789633732882000896
2,0,120,1789633732829453312,1789633732882001920
2,0,121,1789633732829453312,1789633732881999872
2,0,122,1789633732829453312,1789633732882001920
2,0,123,1789633732829453312,1789633732881997824
2,0,124,1789633732829453312,1789633732882001920
2,0,125,1789633732829453312,1789633732881996800
2,0,126,1789633732829453312,1789633732882001920
2,0,127,1789633732829453312,1789633732882000896
2,0,128,1789633732829453312,1789633732882002944
2,0,129,1789633732829453312,1789633732881997824
2,0,130,1789633732829453312,1789633732882001920
2,0,131,1789633732829453312,1789633732881997824
2,0,132,1789633732829453312,1789633732881999872
2,0,133,1789633732829453312,1789633732882003968
2,0,134,1789633732829453312,1789633732881999872
2,0,135,1789633732829453312,1789633732882001920
2,0,136,1789633732829453312,1789633732881999872
2,0,137,1789633732829453312,1789633732882000896
2,0,138,1789633732829453312,1789633732881998848
2,0,139,1789633732829453312,1789633732881999872
2,0,140,1789633732829453312,1789633732881998848
2,0,141,1789633732829453312,1789633732882002944
2,0,142,1789633732829453312,1789633732881998848
2,0,143,1789633732829453312,1789633732881999872
2,0,144,1789633732829453312,1789633732882000896
2,0,145,1789633732829453312,1789633732881999872
2,0,146,1789633732829453312,1789633732881999872
2,0,147,1789633732829453312,1789633732881995776
2,0,148,1789633732829453312,1789633732881998848
2,0,149,1789633732829453312,1789633732882001920
2,0,150,1789633732829453312,1789633732882003968
2,0,151,1789633732829453312,1789633732881999872
2,0,152,1789633732829453312,1789633732881999872
2,0,153,1789633732829453312,1789633732882001920
2,0,154,1789633732829453312,1789633732881996800
2,0,155,1789633732829453312,1789633732881998848
2,0,156,1789633732829453312,1789633732881997824
2,0,157,1789633732829453312,1789633732881999872
2,0,158,1789633732829453312,1789633732881999872
2,0,159,1789633732829453312,1789633732881999872
2,0,160,1789633732829453312,1789633732881999872
2,0,161,1789633732829453312,1789633732882000896
2,0,162,1789633732829453312,1789633732881998848
2,0,163,1789633732829453312,1789633732882000896
2,0,164,1789633732829453312,1789633732882000896
2,0,165,1789633732829453312,1789633732881998848
2,0,166,1789633732829453312,1789633732881999872
2,0,167,1789633732829453312,1789633732881997824
2,0,168,1789633732829453312,1789633732881999872
