schema_version,trial,cta,start_gpu_ns,end_gpu_ns
2,0,92,1789637376082047808,1789637376123254432
2,0,93,1789637376082047808,1789637376123256320
2,0,94,1789637376082048096,1789637376123254592
2,0,95,1789637376082048096,1789637376123256320
2,0,96,1789637376082047744,1789637376123258560
2,0,97,1789637376082047712,1789637376123255296
2,0,98,1789637376082048032,1789637376123257632
2,0,99,1789637376082047712,1789637376123255456
2,0,100,1789637376082047744,1789637376123256128
2,0,101,1789637376082048096,1789637376123257920
2,0,102,1789637376082048096,1789637376123257792
2,0,103,1789637376082047776,1789637376123256928
2,0,104,1789637376082047744,1789637376123255872
2,0,105,1789637376082048160,1789637376123254464
2,0,106,1789637376082047808,1789637376123258304
2,0,107,1789637376082047808,1789637376123259168
2,0,108,1789637376082047744,1789637376129770176
2,0,109,1789637376082047744,1789637376134600640
2,0,110,1789637376082048032,1789637376134600000
2,0,111,1789637376082047712,1789637376134596992
2,0,112,1789637376082047712,1789637376134599936
2,0,113,1789637376082048032,1789637376134597952
2,0,114,1789637376082048032,1789637376134601568
2,0,115,1789637376082047744,1789637376134600480
2,0,116,1789637376082047712,1789637376134600576
2,0,117,1789637376082048064,1789637376134595296
2,0,118,1789637376082047712,1789637376134598240
2,0,119,1789637376082047744,1789637376134597408
2,0,120,1789637376082048032,1789637376134599104
2,0,121,1789637376082048064,1789637376134600320
2,0,122,1789637376082047840,1789637376134599264
2,0,123,1789637376082047808,1789637376134600160
2,0,124,1789637376082048160,1789637376134602304
2,0,125,1789637376082047744,1789637376134602528
2,0,126,1789637376082047872,1789637376134599744
2,0,127,1789637376082048096,1789637376134596640
2,0,128,1789637376082048064,1789637376134602272
2,0,129,1789637376082047744,1789637376134597536
2,0,130,1789637376082047744,1789637376134595872
2,0,131,1789637376082048064,1789637376134601216
2,0,132,1789637376082047744,1789637376134599264
2,0,133,1789637376082047744,1789637376134599520
2,0,134,1789637376082048064,1789637376134598944
2,0,135,1789637376082048096,1789637376134600480
2,0,136,1789637376082047744,1789637376134602656
2,0,137,1789637376082047808,1789637376134600160
2,0,138,1789637376082048128,1789637376134599840
2,0,139,1789637376082047744,1789637376134600384
2,0,140,1789637376082047808,1789637376134598208
2,0,141,1789637376082048032,1789637376134601536
2,0,142,1789637376082048032,1789637376134601568
2,0,143,1789637376082047840,1789637376134597568
2,0,144,1789637376082047776,1789637376134600064
2,0,145,1789637376082048096,1789637376134600480
2,0,146,1789637376082047808,1789637376134597536
2,0,147,1789637376082047808,1789637376134599680
2,0,148,1789637376082048096,1789637376134599008
2,0,149,1789637376082048096,1789637376134599840
2,0,150,1789637376082047744,1789637376134598496
2,0,151,1789637376082047744,1789637376134601216
2,0,152,1789637376082048064,1789637376134597024
2,0,153,1789637376082047744,1789637376134600736
2,0,154,1789637376082047744,1789637376134599456
2,0,155,1789637376082048064,1789637376134599936
2,0,156,1789637376082048064,1789637376134599104
2,0,157,1789637376082047776,1789637376134596192
2,0,158,1789637376082047808,1789637376134603424
